tgDataLogger2 started logging at time 03202017_133234, with 48 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,1_rod(rod).X,1_rod(rod).Y,1_rod(rod).Z,1_rod(rod).Euler1,1_rod(rod).Euler2,1_rod(rod).Euler3,1_rod(rod).mass,2_rod(rod).X,2_rod(rod).Y,2_rod(rod).Z,2_rod(rod).Euler1,2_rod(rod).Euler2,2_rod(rod).Euler3,2_rod(rod).mass,3_rod(rod).X,3_rod(rod).Y,3_rod(rod).Z,3_rod(rod).Euler1,3_rod(rod).Euler2,3_rod(rod).Euler3,3_rod(rod).mass,4_rod(rod).X,4_rod(rod).Y,4_rod(rod).Z,4_rod(rod).Euler1,4_rod(rod).Euler2,4_rod(rod).Euler3,4_rod(rod).mass,5_rod(rod).X,5_rod(rod).Y,5_rod(rod).Z,5_rod(rod).Euler1,5_rod(rod).Euler2,5_rod(rod).Euler3,5_rod(rod).mass,6_rod(rod).X,6_rod(rod).Y,6_rod(rod).Z,6_rod(rod).Euler1,6_rod(rod).Euler2,6_rod(rod).Euler3,6_rod(rod).mass,7_rod(rod).X,7_rod(rod).Y,7_rod(rod).Z,7_rod(rod).Euler1,7_rod(rod).Euler2,7_rod(rod).Euler3,7_rod(rod).mass,8_rod(rod).X,8_rod(rod).Y,8_rod(rod).Z,8_rod(rod).Euler1,8_rod(rod).Euler2,8_rod(rod).Euler3,8_rod(rod).mass,9_rod(rod).X,9_rod(rod).Y,9_rod(rod).Z,9_rod(rod).Euler1,9_rod(rod).Euler2,9_rod(rod).Euler3,9_rod(rod).mass,10_rod(rod).X,10_rod(rod).Y,10_rod(rod).Z,10_rod(rod).Euler1,10_rod(rod).Euler2,10_rod(rod).Euler3,10_rod(rod).mass,11_rod(rod).X,11_rod(rod).Y,11_rod(rod).Z,11_rod(rod).Euler1,11_rod(rod).Euler2,11_rod(rod).Euler3,11_rod(rod).mass,12_SCA(string).RestLen,12_SCA(string).CurrLen,12_SCA(string).Tension,13_SCA(string).RestLen,13_SCA(string).CurrLen,13_SCA(string).Tension,14_SCA(string).RestLen,14_SCA(string).CurrLen,14_SCA(string).Tension,15_SCA(string).RestLen,15_SCA(string).CurrLen,15_SCA(string).Tension,16_SCA(string).RestLen,16_SCA(string).CurrLen,16_SCA(string).Tension,17_SCA(string).RestLen,17_SCA(string).CurrLen,17_SCA(string).Tension,18_SCA(string).RestLen,18_SCA(string).CurrLen,18_SCA(string).Tension,19_SCA(string).RestLen,19_SCA(string).CurrLen,19_SCA(string).Tension,20_SCA(string).RestLen,20_SCA(string).CurrLen,20_SCA(string).Tension,21_SCA(string).RestLen,21_SCA(string).CurrLen,21_SCA(string).Tension,22_SCA(string).RestLen,22_SCA(string).CurrLen,22_SCA(string).Tension,23_SCA(string).RestLen,23_SCA(string).CurrLen,23_SCA(string).Tension,24_SCA(string).RestLen,24_SCA(string).CurrLen,24_SCA(string).Tension,25_SCA(string).RestLen,25_SCA(string).CurrLen,25_SCA(string).Tension,26_SCA(string).RestLen,26_SCA(string).CurrLen,26_SCA(string).Tension,27_SCA(string).RestLen,27_SCA(string).CurrLen,27_SCA(string).Tension,28_SCA(string).RestLen,28_SCA(string).CurrLen,28_SCA(string).Tension,29_SCA(string).RestLen,29_SCA(string).CurrLen,29_SCA(string).Tension,30_SCA(string).RestLen,30_SCA(string).CurrLen,30_SCA(string).Tension,31_SCA(string).RestLen,31_SCA(string).CurrLen,31_SCA(string).Tension,32_SCA(string).RestLen,32_SCA(string).CurrLen,32_SCA(string).Tension,33_SCA(string).RestLen,33_SCA(string).CurrLen,33_SCA(string).Tension,34_SCA(string).RestLen,34_SCA(string).CurrLen,34_SCA(string).Tension,35_SCA(string).RestLen,35_SCA(string).CurrLen,35_SCA(string).Tension,36_SCA(string).RestLen,36_SCA(string).CurrLen,36_SCA(string).Tension,37_SCA(string).RestLen,37_SCA(string).CurrLen,37_SCA(string).Tension,38_SCA(string).RestLen,38_SCA(string).CurrLen,38_SCA(string).Tension,39_SCA(string).RestLen,39_SCA(string).CurrLen,39_SCA(string).Tension,40_SCA(string).RestLen,40_SCA(string).CurrLen,40_SCA(string).Tension,41_SCA(string).RestLen,41_SCA(string).CurrLen,41_SCA(string).Tension,42_SCA(string).RestLen,42_SCA(string).CurrLen,42_SCA(string).Tension,43_SCA(string).RestLen,43_SCA(string).CurrLen,43_SCA(string).Tension,44_SCA(string).RestLen,44_SCA(string).CurrLen,44_SCA(string).Tension,45_SCA(string).RestLen,45_SCA(string).CurrLen,45_SCA(string).Tension,46_SCA(string).RestLen,46_SCA(string).CurrLen,46_SCA(string).Tension,47_SCA(string).RestLen,47_SCA(string).CurrLen,47_SCA(string).Tension,
1.4864,0.21308,11.5225,-0.21308,0.529903,-0.146975,0.529903,0.0861219,2.39542,11.9925,1.30458,0.529903,-0.146975,0.529903,0.0861219,1.97947,13.3688,-1.05956,0.528159,-0.149493,0.530275,0.0861219,1.89289,11.8616,-1.36289,-1.45087,0.283569,0.319213,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6134,0.198466,-1.46213,0.326411,0.363178,0.0892445,2.88746,11.6241,-0.0324569,-0.432102,-0.0485686,-0.220439,0.0909582,0.624099,12.475,-1.1491,-0.439046,-0.030826,-0.137951,0.0925531,1.14587,12.7109,1.38913,-0.556086,-0.014393,-0.0504147,0.0893928,1.32937,12.7692,0.191589,-0.580037,-0.340203,-1.05174,0.10845,1.41312,12.9721,0.236884,0.523935,0.354593,-1.1782,0.0982984,1.50798,10.8541,-0.322985,0.0642623,0.0514518,-1.35016,0.0915818,1.85682,1.85682,0,1.87539,1.87539,0,1.78003,1.78003,0,1.7973,1.7973,0,1.66148,1.66148,0,1.7497,1.7497,0,1.69078,1.69078,0,1.76679,1.78113,14.3363,1.7414,1.7414,0,1.77904,1.76449,0,1.66897,1.67219,3.22831,1.78096,1.78096,0,1.87208,1.87208,0,1.61776,1.61776,2.22045e-13,1.62728,1.62728,2.22045e-13,1.74764,1.74764,6.66134e-13,1.77114,1.77114,4.44089e-13,1.64088,1.64088,0,1.85386,1.84091,0,1.51508,1.51508,0,1.64632,1.64818,1.86527,1.89346,1.89346,0,1.75275,1.75275,0,1.75199,1.75199,0,1.80886,1.80886,0,1.56601,1.5711,5.08404,1.90032,1.90032,0,1.64012,1.64012,4.44089e-13,1.46592,1.46592,0,1.69645,1.69387,0,1.49831,1.49831,0,2.27852,2.26537,0,1.98603,1.99179,5.75414,2.00238,1.99567,0,1.87412,1.87412,0,1.85573,1.86897,13.2447,
1.4865,0.21308,11.5225,-0.21308,0.529902,-0.146975,0.529905,0.0861219,2.39542,11.9925,1.30458,0.529903,-0.146975,0.529903,0.0861219,1.97947,13.3688,-1.05956,0.528078,-0.149192,0.53042,0.0861219,1.89289,11.8616,-1.36289,-1.45087,0.283569,0.319211,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198466,-1.46213,0.326411,0.363178,0.0892445,2.88746,11.6241,-0.0324569,-0.432102,-0.0485686,-0.220439,0.0909582,0.624099,12.475,-1.1491,-0.439046,-0.030826,-0.137952,0.0925531,1.14587,12.7108,1.38913,-0.556084,-0.0143921,-0.050418,0.0893928,1.32937,12.7692,0.191589,-0.580211,-0.340773,-1.05115,0.10845,1.41312,12.9721,0.236884,0.523935,0.354593,-1.1782,0.0982984,1.50798,10.8541,-0.322985,0.0642623,0.0514518,-1.35016,0.0915818,1.85682,1.85683,0.00264487,1.87539,1.87539,0,1.78003,1.78003,0.000651444,1.7973,1.7973,0,1.66148,1.66148,4.44089e-13,1.7497,1.7497,0.00296705,1.69078,1.69078,0,1.76679,1.78317,16.381,1.7414,1.7414,0.00120728,1.77904,1.76243,0,1.66897,1.67245,3.48505,1.78096,1.78096,0.00442798,1.87208,1.87208,0,1.61776,1.61776,0.000752467,1.62728,1.62728,0,1.74764,1.74764,6.66134e-13,1.77114,1.77114,0,1.64088,1.64088,0,1.85386,1.83762,0,1.51508,1.51508,0,1.64632,1.64888,2.56065,1.89346,1.89346,0.000211909,1.75275,1.75275,0,1.75199,1.75199,0.00628028,1.80886,1.80886,0,1.56601,1.57065,4.63465,1.90032,1.90032,0,1.64012,1.64012,4.44089e-13,1.46592,1.46592,0.00570059,1.69645,1.69371,0,1.49831,1.49832,0.00505746,2.27852,2.26446,0,1.98603,1.99116,5.12863,2.00238,1.9963,0,1.87412,1.87412,0.00346322,1.85573,1.86993,14.2026,
1.4866,0.21308,11.5225,-0.213079,0.529902,-0.146975,0.529906,0.0861219,2.39542,11.9925,1.30458,0.529903,-0.146975,0.529903,0.0861219,1.97818,13.3685,-1.06047,0.527999,-0.148888,0.530564,0.0861219,1.89289,11.8616,-1.3629,-1.45087,0.283568,0.319205,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198466,-1.46213,0.326411,0.363178,0.0892445,2.88746,11.6241,-0.0324569,-0.432102,-0.0485686,-0.220439,0.0909582,0.624099,12.475,-1.1491,-0.439047,-0.0308262,-0.137952,0.0925531,1.14587,12.7108,1.38913,-0.556079,-0.0143907,-0.0504239,0.0893928,1.33039,12.7694,0.192314,-0.580386,-0.341343,-1.05055,0.10845,1.41312,12.9721,0.236884,0.523935,0.354593,-1.1782,0.0982984,1.50798,10.8541,-0.322985,0.0642624,0.0514518,-1.35016,0.0915818,1.85682,1.85683,0.00495544,1.87539,1.87539,0,1.78003,1.78003,0.00235598,1.7973,1.7973,7.88557e-05,1.66148,1.66148,4.92217e-05,1.7497,1.74971,0.00916288,1.69078,1.69078,0,1.76679,1.7852,18.4102,1.7414,1.7414,0.00381331,1.77904,1.76038,0,1.66897,1.67272,3.75949,1.78096,1.78097,0.0136108,1.87208,1.87207,0,1.61776,1.61776,0.00231078,1.62728,1.62728,0,1.74764,1.74764,1.87646e-05,1.77114,1.77113,0,1.64088,1.64088,2.33528e-05,1.85386,1.83433,0,1.51508,1.51508,0,1.64632,1.64958,3.26078,1.89346,1.89346,0.000729128,1.75275,1.75275,0.000126571,1.75199,1.752,0.0182032,1.80886,1.80886,0,1.56601,1.5702,4.18584,1.90032,1.90032,0.000107232,1.64012,1.64012,0,1.46592,1.46593,0.0182174,1.69645,1.69355,0,1.49831,1.49832,0.00965022,2.27852,2.26356,0,1.98603,1.99054,4.50277,2.00238,1.99694,0,1.87412,1.87412,0.00875358,1.85573,1.87087,15.1433,
1.4867,0.213081,11.5225,-0.213078,0.529902,-0.146975,0.529908,0.0861219,2.39542,11.9925,1.30458,0.529903,-0.146975,0.529903,0.0861219,1.9769,13.3682,-1.06138,0.527923,-0.148581,0.530708,0.0861219,1.89289,11.8616,-1.3629,-1.45088,0.283567,0.319196,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198466,-1.46213,0.326411,0.363178,0.0892445,2.88746,11.6241,-0.0324569,-0.432102,-0.0485686,-0.220439,0.0909582,0.6241,12.475,-1.1491,-0.439049,-0.0308265,-0.137953,0.0925531,1.14586,12.7108,1.38913,-0.55607,-0.0143885,-0.0504324,0.0893928,1.33142,12.7696,0.19304,-0.580561,-0.341914,-1.04996,0.10845,1.41312,12.9721,0.236884,0.523935,0.354593,-1.1782,0.0982984,1.50798,10.8541,-0.322985,0.0642625,0.051452,-1.35016,0.0915818,1.85682,1.85683,0.0069811,1.87539,1.87539,0,1.78003,1.78004,0.00532969,1.7973,1.7973,0.00033536,1.66148,1.66148,9.3809e-05,1.7497,1.74972,0.0187907,1.69078,1.69078,2.18736e-05,1.76679,1.78721,20.4216,1.7414,1.74141,0.0079962,1.77904,1.75834,0,1.66897,1.67302,4.05181,1.78096,1.78098,0.0278437,1.87208,1.87207,0,1.61776,1.61776,0.00472578,1.62728,1.62728,0,1.74764,1.74764,0,1.77114,1.77111,0,1.64088,1.64088,6.16749e-05,1.85386,1.83104,0,1.51508,1.51508,0,1.64632,1.65028,3.9648,1.89346,1.89346,0.00164552,1.75275,1.75275,0.000397819,1.75199,1.75202,0.0366249,1.80886,1.80886,0,1.56601,1.56975,3.73765,1.90032,1.90032,0.000290447,1.64012,1.64012,0,1.46592,1.46595,0.0385402,1.69645,1.6934,0,1.49831,1.49832,0.0138017,2.27852,2.26266,0,1.98603,1.98991,3.87668,2.00238,1.99757,0,1.87412,1.87413,0.0159251,1.85573,1.87179,16.0659,
1.4868,0.213081,11.5225,-0.213077,0.529901,-0.146976,0.529909,0.0861219,2.39542,11.9925,1.30458,0.529903,-0.146975,0.529903,0.0861219,1.97562,13.3679,-1.06228,0.527851,-0.14827,0.53085,0.0861219,1.89288,11.8616,-1.36291,-1.45089,0.283565,0.319184,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198466,-1.46213,0.326411,0.363178,0.0892445,2.88746,11.6241,-0.032457,-0.432102,-0.0485687,-0.220439,0.0909582,0.624101,12.475,-1.1491,-0.439052,-0.030827,-0.137954,0.0925531,1.14586,12.7108,1.38912,-0.556059,-0.0143857,-0.0504437,0.0893928,1.33245,12.7698,0.193765,-0.580737,-0.342483,-1.04937,0.10845,1.41312,12.9721,0.236884,0.523935,0.354593,-1.1782,0.0982984,1.50798,10.8541,-0.322985,0.0642626,0.0514522,-1.35016,0.0915818,1.85682,1.85683,0.00876776,1.87539,1.87539,0,1.78003,1.78004,0.00977487,1.7973,1.7973,0.000871707,1.66148,1.66148,0.000169598,1.7497,1.74973,0.0320452,1.69078,1.69078,0.000129489,1.76679,1.7892,22.4128,1.7414,1.74141,0.0140124,1.77904,1.75631,0,1.66897,1.67333,4.36212,1.78096,1.78101,0.0483297,1.87208,1.87206,0,1.61776,1.61776,0.00796685,1.62728,1.62727,0,1.74764,1.74764,0,1.77114,1.77109,0,1.64088,1.64088,0.000122701,1.85386,1.82775,0,1.51508,1.51508,0,1.64632,1.65099,4.67189,1.89346,1.89347,0.00305236,1.75275,1.75275,0.00078568,1.75199,1.75205,0.0619038,1.80886,1.80886,0,1.56601,1.5693,3.29006,1.90032,1.90033,0.000527332,1.64012,1.64012,0,1.46592,1.46598,0.0671222,1.69645,1.69326,0,1.49831,1.49833,0.0175634,2.27852,2.26177,0,1.98603,1.98928,3.25048,2.00238,1.9982,0,1.87412,1.87414,0.0250524,1.85573,1.8727,16.9695,
1.4869,0.213082,11.5225,-0.213076,0.529901,-0.146976,0.529911,0.0861219,2.39542,11.9925,1.30458,0.529902,-0.146976,0.529903,0.0861219,1.97434,13.3677,-1.06317,0.527783,-0.147956,0.530992,0.0861219,1.89287,11.8616,-1.36292,-1.45089,0.283562,0.319167,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198466,-1.46213,0.326411,0.363178,0.0892445,2.88746,11.6241,-0.032457,-0.432102,-0.0485687,-0.220439,0.0909582,0.624103,12.475,-1.1491,-0.439055,-0.030828,-0.137956,0.0925531,1.14585,12.7108,1.38911,-0.556043,-0.0143823,-0.050458,0.0893928,1.33347,12.7701,0.194491,-0.580914,-0.343053,-1.04878,0.10845,1.41312,12.9721,0.236884,0.523935,0.354594,-1.1782,0.0982984,1.50798,10.8541,-0.322985,0.0642627,0.0514523,-1.35016,0.0915818,1.85682,1.85683,0.0103606,1.87539,1.87538,0,1.78003,1.78005,0.0158805,1.7973,1.7973,0.00131636,1.66148,1.66148,0.000252457,1.7497,1.74975,0.0502527,1.69078,1.69078,0.000195568,1.76679,1.79117,24.3814,1.7414,1.74142,0.0216097,1.77904,1.75428,0,1.66897,1.67366,4.6905,1.78096,1.78103,0.0756524,1.87208,1.87205,0,1.61776,1.61777,0.0122829,1.62728,1.62727,0,1.74764,1.74764,0,1.77114,1.77107,0,1.64088,1.64088,0.000214701,1.85386,1.82446,0,1.51508,1.51508,0,1.64632,1.6517,5.38124,1.89346,1.89347,0.005035,1.75275,1.75275,0.00126622,1.75199,1.75208,0.0943789,1.80886,1.80886,0,1.56601,1.56886,2.84307,1.90032,1.90033,0.000801021,1.64012,1.64012,0,1.46592,1.46602,0.104394,1.69645,1.69312,0,1.49831,1.49833,0.0209815,2.27852,2.26088,0,1.98603,1.98866,2.62428,2.00238,1.99883,0,1.87412,1.87415,0.0359072,1.85573,1.87358,17.8536,
1.487,0.213082,11.5225,-0.213075,0.5299,-0.146976,0.529912,0.0861219,2.39542,11.9925,1.30458,0.529902,-0.146976,0.529903,0.0861219,1.97307,13.3674,-1.06406,0.527719,-0.147637,0.531131,0.0861219,1.89286,11.8616,-1.36294,-1.4509,0.283559,0.319146,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198466,-1.46213,0.326411,0.363178,0.0892445,2.88746,11.6241,-0.0324571,-0.432102,-0.0485688,-0.220439,0.0909582,0.624105,12.475,-1.1491,-0.43906,-0.0308295,-0.137958,0.0925531,1.14583,12.7108,1.3891,-0.556024,-0.014378,-0.0504756,0.0893928,1.3345,12.7703,0.195218,-0.581092,-0.343622,-1.04819,0.10845,1.41312,12.9721,0.236884,0.523935,0.354594,-1.1782,0.0982984,1.50798,10.8541,-0.322985,0.0642629,0.0514525,-1.35016,0.0915818,1.85682,1.85684,0.0117976,1.87539,1.87538,0,1.78003,1.78005,0.0238226,1.7973,1.7973,0.00187936,1.66148,1.66148,0.000319922,1.7497,1.74977,0.0736163,1.69078,1.69078,0.000259904,1.76679,1.79312,26.325,1.7414,1.74143,0.030877,1.77904,1.75228,0,1.66897,1.674,5.03698,1.78096,1.78107,0.110379,1.87208,1.87203,0,1.61776,1.61777,0.017738,1.62728,1.62726,0,1.74764,1.74764,0,1.77114,1.77103,0,1.64088,1.64088,0.000344882,1.85386,1.82118,0,1.51508,1.51508,0,1.64632,1.65241,6.09204,1.89346,1.89347,0.00768302,1.75275,1.75275,0.00181807,1.75199,1.75212,0.13443,1.80886,1.80886,0,1.56601,1.56841,2.39652,1.90032,1.90033,0.00109575,1.64012,1.64012,0,1.46592,1.46607,0.150651,1.69645,1.69299,0,1.49831,1.49833,0.024098,2.27852,2.25999,0,1.98603,1.98803,1.99822,2.00238,1.99946,0,1.87412,1.87417,0.04922,1.85573,1.87445,18.7176,
1.4871,0.213082,11.5225,-0.213074,0.5299,-0.146975,0.529913,0.0861219,2.39542,11.9925,1.30458,0.529902,-0.146976,0.529903,0.0861219,1.97181,13.3671,-1.06494,0.52766,-0.147315,0.531269,0.0861219,1.89285,11.8616,-1.36296,-1.45091,0.283555,0.31912,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198466,-1.46213,0.32641,0.363177,0.0892445,2.88746,11.6241,-0.0324573,-0.432103,-0.0485689,-0.220439,0.0909582,0.624108,12.475,-1.1491,-0.439066,-0.0308317,-0.137962,0.0925531,1.14582,12.7108,1.38909,-0.556001,-0.014373,-0.0504964,0.0893928,1.33552,12.7705,0.195944,-0.58127,-0.34419,-1.04759,0.10845,1.41312,12.9721,0.236884,0.523935,0.354594,-1.1782,0.0982984,1.50798,10.8541,-0.322984,0.064263,0.0514527,-1.35016,0.0915818,1.85682,1.85684,0.0131147,1.87539,1.87538,0,1.78003,1.78006,0.0337649,1.7973,1.7973,0.00258908,1.66148,1.66148,0.000351838,1.7497,1.7498,0.10254,1.69078,1.69078,0.000324256,1.76679,1.79503,28.2416,1.7414,1.74144,0.0419022,1.77904,1.75028,0,1.66897,1.67437,5.40157,1.78096,1.78111,0.153057,1.87208,1.87202,0,1.61776,1.61778,0.0243935,1.62728,1.62725,0,1.74764,1.74764,0,1.77114,1.771,0,1.64088,1.64088,0.000522167,1.85386,1.81789,0,1.51508,1.51508,0,1.64632,1.65312,6.8035,1.89346,1.89347,0.0110835,1.75275,1.75275,0.00242265,1.75199,1.75217,0.182365,1.80886,1.80886,0,1.56601,1.56796,1.95039,1.90032,1.90033,0.00139915,1.64012,1.64012,0,1.46592,1.46612,0.206256,1.69645,1.69287,0,1.49831,1.49834,0.026951,2.27852,2.25911,0,1.98603,1.9874,1.3724,2.00238,2.00009,0,1.87412,1.87418,0.0651069,1.85573,1.87529,19.5607,
1.4872,0.213083,11.5225,-0.213073,0.529899,-0.146975,0.529914,0.0861219,2.39542,11.9925,1.30458,0.529902,-0.146976,0.529903,0.0861219,1.97055,13.3668,-1.06581,0.527606,-0.146988,0.531405,0.0861219,1.89283,11.8616,-1.36299,-1.45093,0.28355,0.319088,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198467,-1.46213,0.32641,0.363177,0.0892445,2.88746,11.6241,-0.0324574,-0.432103,-0.048569,-0.220439,0.0909582,0.624112,12.475,-1.14911,-0.439073,-0.0308347,-0.137965,0.0925531,1.1458,12.7108,1.38908,-0.555974,-0.0143673,-0.0505208,0.0893928,1.33655,12.7707,0.196671,-0.581449,-0.344758,-1.047,0.10845,1.41312,12.9721,0.236885,0.523935,0.354594,-1.1782,0.0982984,1.50798,10.8541,-0.322984,0.0642632,0.051453,-1.35016,0.0915818,1.85682,1.85684,0.0143146,1.87539,1.87538,0,1.78003,1.78008,0.0458589,1.7973,1.7973,0.00332168,1.66148,1.66148,0.00040719,1.7497,1.74984,0.137054,1.69078,1.69078,0.000390873,1.76679,1.79692,30.1287,1.7414,1.74145,0.0554816,1.77904,1.7483,0,1.66897,1.67475,5.7842,1.78096,1.78116,0.204281,1.87208,1.872,0,1.61776,1.61779,0.0320863,1.62728,1.62724,0,1.74764,1.74764,0,1.77114,1.77095,0,1.64088,1.64088,0.000755729,1.85386,1.81461,0,1.51508,1.51508,0,1.64632,1.65383,7.51483,1.89346,1.89348,0.0153213,1.75275,1.75275,0.00306365,1.75199,1.75222,0.238472,1.80886,1.80886,0.000463435,1.56601,1.56752,1.50468,1.90032,1.90033,0.00170181,1.64012,1.64012,0,1.46592,1.46619,0.271544,1.69645,1.69275,0,1.49831,1.49834,0.0295751,2.27852,2.25823,0,1.98603,1.98678,0.746958,2.00238,2.00072,0,1.87412,1.8742,0.083681,1.85573,1.87611,20.3826,
1.4873,0.213083,11.5225,-0.213072,0.529899,-0.146975,0.529916,0.0861219,2.39542,11.9925,1.30458,0.529902,-0.146976,0.529903,0.0861219,1.96931,13.3665,-1.06667,0.527557,-0.146657,0.531538,0.0861219,1.89281,11.8616,-1.36302,-1.45095,0.283544,0.319052,0.0903166,1.03729,11.235,1.01771,-1.51733,0.329516,0.347269,0.0919998,1.23153,13.6133,0.198467,-1.46213,0.32641,0.363177,0.0892445,2.88746,11.6241,-0.0324576,-0.432103,-0.0485691,-0.220439,0.0909582,0.624118,12.4749,-1.14911,-0.439082,-0.0308389,-0.13797,0.0925531,1.14577,12.7108,1.38906,-0.555943,-0.0143607,-0.0505488,0.0893928,1.33757,12.7709,0.197398,-0.581629,-0.345325,-1.04641,0.10845,1.41312,12.9721,0.236885,0.523935,0.354594,-1.1782,0.0982984,1.50798,10.8541,-0.322984,0.0642634,0.0514533,-1.35016,0.0915818,1.85682,1.85684,0.0153515,1.87539,1.87538,0,1.78003,1.78009,0.0610499,1.7973,1.7973,0.00409684,1.66148,1.66148,0.00047268,1.7497,1.74988,0.177478,1.69078,1.69078,0.000454591,1.76679,1.79877,31.9842,1.7414,1.74147,0.0718023,1.77904,1.74634,0,1.66897,1.67515,6.18478,1.78096,1.78122,0.264566,1.87208,1.87198,0,1.61776,1.6178,0.0408553,1.62728,1.62722,0,1.74764,1.74764,0,1.77114,1.7709,0,1.64088,1.64088,0.0010632,1.85386,1.81132,0,1.51508,1.51508,0,1.64632,1.65454,8.22503,1.89346,1.89348,0.0205154,1.75275,1.75275,0.00372732,1.75199,1.75229,0.303015,1.80886,1.80886,0.00101938,1.56601,1.56707,1.05937,1.90032,1.90033,0.00199994,1.64012,1.64012,0,1.46592,1.46626,0.346825,1.69645,1.69264,0,1.49831,1.49834,0.0319812,2.27852,2.25735,0,1.98603,1.98615,0.122025,2.00238,2.00134,0,1.87412,1.87422,0.105055,1.85573,1.87691,21.1826,
